,Precio,Precio Inicial,Estrellas,Marca,Dimensiones,RAM,Memoria,Peso
0,159.0,"175,00",4.4,realme,"16,6 x 7,6 x 0,8",8.0,256.0,200.0
1,171.99,"179,95",4.3,xiaomi,50 x 50 x 28,8.0,8.0,200.0
2,159.0,"159,00",3.9,samsung,"17,2 x 8,3 x 2,9",4.0,128.0,270.0
3,128.9,"156,00",4.7,xiaomi,"18,5 x 9,3 x 5,4",8.0,256.0,490.0
4,89.99,"89,99",3.9,xiaomi,"17,3 x 8,6 x 5,1",1.0,1.0,410.0
5,144.5,"249,00",4.1,honor,50 x 50 x 28,8.0,3.0,194.0
6,89.99,"89,99",4.1,ulefone,"7,52 x 0,87 x 16,32",6.0,64.0,192.0
7,239.9,"239,90",3.8,samsung,50 x 50 x 28,8.0,256.0,200.0
8,339.94,"339,94",4.6,samsung,50 x 50 x 28,8.0,128.0,310.0
9,131.45,"152,65",3.9,xiaomi,18 x 9 x 5,6.0,6.0,400.0
10,729.99,"749,99",4.6,samsung,"34 x 15,7 x 4,9",8.0,512.0,200.0
11,249.9,"249,90",4.4,xiaomi,"18 x 9,1 x 5,9",8.0,256.0,510.0
14,149.99,"149,99",4.7,samsung,18 x 9 x 4,4.0,128.0,290.0
15,79.95,"79,95",3.7,microsoft,"0,9 x 7,2 x 14,1",1.0,1.0,145.0
16,159.99,"159,99",3.9,ulefone,"7,64 x 0,87 x 16,5",8.0,8.0,184.0
17,239.0,"239,00",3.5,apple,"6,43 x 0,74 x 13,16",8.0,128.0,135.0
19,89.9,"89,90",3.9,nokia,"13,89 x 5,77 x 1,62",8.0,128.0,277.3
20,249.99,"249,99",3.5,hotwav,"16,8 x 8,2 x 1,8",8.0,8.0,323.0
21,259.99,"259,99",4.2,sony,"12,9 x 9,3 x 12,9",4.0,32.0,140.0
22,109.99,"129,99",4.0,cubot,"21,7 x 17,3 x 6,2",12.0,12.0,214.0
23,164.99,"164,99",4.3,samsung,50 x 50 x 28,4.0,4.0,270.0
25,57.99,"57,99",3.6,msmga,"17,5 x 9,5 x 5,8",1.0,128.0,340.0
26,129.99,"129,99",4.0,realme,"18 x 9,4 x 4",8.0,8.0,370.0
28,131.75,"131,75",4.6,oneplus,"15,75 x 7,48 x 0,82",8.0,8.0,185.0
30,129.99,"129,99",4.0,ulefone,"7,91 x 1,02 x 17,36",4.0,4.0,237.0
31,1510.78,"1.510,78",4.1,apple,"2,9 x 8,8 x 16,5",8.0,256.0,320.0
33,102.0,"102,00",4.4,xiaomi,"7,7 x 0,91 x 16,33",32.0,3.0,198.0
35,152.0,"152,00",4.1,xiaomi,"16,22 x 7,55 x 0,8",8.0,256.0,188.0
36,64.99,"64,99",5.0,xgody,"17,5 x 15,5 x 3,7",2.0,16.0,380.0
37,189.0,"189,00",4.3,samsung,"16,4 x 7,59 x 0,97",4.0,4.0,220.0
38,119.99,"119,99",4.2,oukitel,"23,5 x 16,3 x 6,7",16.0,128.0,460.0
39,113.99,"128,74",4.3,samsung,50 x 50 x 28,3.0,3.0,195.0
40,197.0,"212,99",4.4,xiaomi,50 x 50 x 28,8.0,8.0,205.0
41,159.0,"159,00",4.3,"mcr infoelectronic,sl","16,37 x 7,5 x 0,8",4.0,4.0,189.0
42,94.55,"109,99",3.0,ttfone,"5,5 x 2 x 10,8",4.0,4.0,128.0
43,188.0,"188,00",4.3,xiaomi,50 x 50 x 28,8.0,512.0,277.3
44,198.99,"198,99",4.0,samsung,"15,98 x 7,45 x 0,84",6.0,6.0,193.0
45,434.31,"518,15",4.6,xiaomi,50 x 50 x 28,12.0,12.0,500.0
46,215.0,"235,00",4.5,samsung,50 x 50 x 28,8.0,128.0,277.3
47,56.99,"59,99",3.4,mcmgc,"16,8 x 9,2 x 5,5",1.0,16.0,330.0
49,95.89,"95,89",4.2,samsung,"14,72 x 6,95 x 0,83",32.0,32.0,141.0
50,79.99,"79,99",4.2,oscal,"18 x 9,3 x 5,7",6.0,64.0,193.0
51,220.0,"220,00",3.6,apple,"16,89 x 9,3 x 5,21",64.0,64.0,190.0
52,289.99,"319,00",4.2,samsung,"0,84 x 7,7 x 16,55",4.0,128.0,198.0
54,129.99,"129,99",4.4,oukitel,"16,8 x 7,8 x 0,94",18.0,128.0,209.0
55,89.99,"89,99",4.1,oscal,"16,46 x 7,68 x 0,94",32.0,32.0,193.0
57,261.0,"261,00",4.0,samsung,"0,99 x 7,67 x 15,99",4.0,64.0,218.0
58,108.89,"108,89",3.9,samsung,50 x 50 x 28,4.0,4.0,140.0
60,160.82,"160,82",3.7,xiaomi,"16,86 x 0,83 x 7,63",8.0,256.0,205.0
61,94.99,"104,99",3.6,realme,"16,7 x 7,67 x 0,78",4.0,128.0,187.0
62,169.0,"169,00",4.3,vivo,"16,57 x 7,6 x 0,8",8.0,256.0,380.0
63,199.99,"199,99",4.1,hotwav,50 x 50 x 28,8.0,128.0,277.3
64,319.99,"319,99",3.8,samsung,50 x 50 x 28,8.0,8.0,420.0
65,89.0,"99,00",4.1,xiaomi,"16,83 x 7,63 x 0,83",4.0,128.0,278.0
66,153.99,"153,99",4.4,samsung,50 x 50 x 28,64.0,64.0,200.0
68,302.49,"439,99",4.1,oppo,50 x 50 x 28,12.0,12.0,172.0
69,899.99,"899,99",4.5,samsung,50 x 50 x 28,12.0,512.0,370.0
70,348.68,"379,00",4.4,nothing,"7,63 x 0,85 x 16,17",12.0,256.0,190.0
72,869.0,"869,00",4.5,apple,50 x 50 x 28,8.0,256.0,277.3
73,219.99,"219,99",4.4,samsung,"0,91 x 7,59 x 16,42",3.0,32.0,196.0
74,174.46,"174,46",4.3,samsung,"7,79 x 0,79 x 16,44",4.0,128.0,200.0
75,720.0,"720,00",4.3,samsung,"0,89 x 7,79 x 16,33",8.0,512.0,340.0
76,114.39,"126,57",4.1,xiaomi,"0,89 x 7,61 x 16,4",8.0,64.0,200.0
