epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.6136,1.62394,4.55502,1.63838,0.00333,1,0.00542,0.00386,0.67454,3.97283,1.01408,8e-05,8e-05,8e-05
2,69.1065,1.12011,3.46237,1.12191,0.00333,1,0.8429,0.62424,0.82364,3.87766,0.78279,0.000176436,0.000176436,0.000176436
3,97.4284,1.13647,2.31088,1.05174,0.00333,1,0.995,0.72624,0.64555,3.48078,0.81167,0.000268912,0.000268912,0.000268912
4,124.541,1.05971,2.05593,1.00669,0.00333,1,0.34044,0.18263,0.6766,3.84509,0.8749,0.000357428,0.000357428,0.000357428
5,152.944,1.15327,2.2648,1.01537,0.00333,1,0.895,0.59618,0.7158,3.52752,0.83703,0.000441984,0.000441984,0.000441984
6,180.306,1.0399,1.75371,0.99865,0.00333,1,0.899,0.62796,0.55755,3.46427,0.79065,0.00052258,0.00052258,0.00052258
7,208.266,1.0474,1.71458,0.99555,0.00333,1,0.87674,0.70397,0.81266,3.53173,0.80882,0.000599216,0.000599216,0.000599216
8,236.106,1.06693,1.69979,0.97517,0.00333,1,0.995,0.84587,0.6892,3.31783,0.78907,0.000671892,0.000671892,0.000671892
9,265.629,1.03497,1.47275,1.00347,0.00579,1,0.995,0.88084,0.75526,3.1806,0.8197,0.000740608,0.000740608,0.000740608
10,294.159,1.07179,1.54505,1.03498,0.98847,1,0.995,0.7214,0.78587,3.04381,0.87223,0.000805364,0.000805364,0.000805364
11,322.055,0.94944,1.51771,0.94547,1,0.70102,0.995,0.76956,0.77558,3.01582,0.84222,0.00086616,0.00086616,0.00086616
12,349.863,0.91405,1.48723,0.96967,0.00333,1,0.995,0.88894,0.63601,3.11513,0.81225,0.000922996,0.000922996,0.000922996
13,377.21,1.00673,1.46803,0.97607,0.00333,1,0.79,0.67048,0.56584,3.24419,0.80577,0.000975872,0.000975872,0.000975872
14,404.836,0.85162,1.31504,0.97415,1,0.66817,0.995,0.81307,0.79668,2.87216,0.85356,0.00102479,0.00102479,0.00102479
15,432.543,0.94282,1.37229,1.01828,0.98866,1,0.995,0.78452,0.74506,2.44321,0.8516,0.00106974,0.00106974,0.00106974
16,460.234,0.97491,1.26847,0.97948,0.96025,1,0.995,0.83317,0.75667,2.20194,0.85161,0.00111074,0.00111074,0.00111074
17,490.969,0.89404,1.29685,0.97135,0.96891,1,0.995,0.85738,0.54723,1.88603,0.79033,0.00114778,0.00114778,0.00114778
18,521.105,0.89961,1.37341,0.9614,0.96743,1,0.995,0.89296,0.60561,1.9676,0.80843,0.00118085,0.00118085,0.00118085
19,549.046,0.9229,1.2471,0.9898,0.96971,1,0.995,0.89882,0.56586,1.9655,0.81137,0.00120997,0.00120997,0.00120997
20,576.816,0.89542,1.27619,0.94948,0.98198,1,0.995,0.82574,0.6576,1.60931,0.79935,0.00123512,0.00123512,0.00123512
21,604.577,0.84572,1.12385,0.92858,0.98933,1,0.995,0.88367,0.51118,1.52564,0.78591,0.001208,0.001208,0.001208
22,632.698,0.80544,1.08702,0.89578,0.98874,1,0.995,0.92054,0.5205,1.47906,0.78819,0.0011684,0.0011684,0.0011684
23,660.533,0.86471,1.05259,0.92986,0.98683,1,0.995,0.84587,0.63373,1.35462,0.79407,0.0011288,0.0011288,0.0011288
24,688.315,0.84103,1.13529,0.94,0.98819,1,0.995,0.87113,0.53134,1.31559,0.77993,0.0010892,0.0010892,0.0010892
25,715.95,0.80617,1.09925,0.93765,0.98647,1,0.995,0.84369,0.5161,1.25125,0.77445,0.0010496,0.0010496,0.0010496
26,743.712,0.75821,1.16416,0.89933,0.99061,1,0.995,0.81319,0.61455,1.10846,0.8082,0.00101,0.00101,0.00101
27,771.583,0.81804,1.03882,0.9277,0.99169,1,0.995,0.85432,0.60527,1.04381,0.82193,0.0009704,0.0009704,0.0009704
28,799.251,0.74438,1.0001,0.8999,0.98912,1,0.995,0.89038,0.61581,1.07654,0.78399,0.0009308,0.0009308,0.0009308
29,827.561,0.7457,1.05287,0.93381,0.98909,1,0.995,0.81048,0.68763,1.07843,0.78154,0.0008912,0.0008912,0.0008912
30,855.274,0.71347,0.93195,0.92057,0.98976,1,0.995,0.80476,0.76642,1.09459,0.79802,0.0008516,0.0008516,0.0008516
31,882.989,0.75561,0.92878,0.91084,0.98945,1,0.995,0.805,0.80544,1.03483,0.80551,0.000812,0.000812,0.000812
32,910.793,0.75643,0.92438,0.90864,0.99019,1,0.995,0.82494,0.64715,1.00444,0.78125,0.0007724,0.0007724,0.0007724
33,938.856,0.65125,0.85639,0.88101,0.99046,1,0.995,0.84314,0.63112,1.02876,0.79117,0.0007328,0.0007328,0.0007328
34,966.616,0.59954,0.77594,0.86994,0.99105,1,0.995,0.87938,0.59228,1.02117,0.79675,0.0006932,0.0006932,0.0006932
35,994.129,0.63853,0.82348,0.91068,0.99155,1,0.995,0.87113,0.56086,0.98262,0.78097,0.0006536,0.0006536,0.0006536
36,1021.73,0.67144,0.86274,0.91557,0.99178,1,0.995,0.88496,0.50171,0.89059,0.78131,0.000614,0.000614,0.000614
37,1049.37,0.65348,0.81604,0.88029,0.99153,1,0.995,0.8634,0.53877,0.9321,0.78879,0.0005744,0.0005744,0.0005744
38,1076.93,0.70262,0.82168,0.87942,0.99113,1,0.995,0.84101,0.56181,0.93648,0.79309,0.0005348,0.0005348,0.0005348
39,1104.7,0.63482,0.80201,0.88564,0.99081,1,0.995,0.84864,0.58637,0.88683,0.78826,0.0004952,0.0004952,0.0004952
40,1132.53,0.66799,0.85229,0.89146,0.99067,1,0.995,0.87113,0.53211,0.83227,0.79317,0.0004556,0.0004556,0.0004556
41,1160.51,0.49903,0.85465,0.8812,0.9902,1,0.995,0.87669,0.52267,0.86331,0.79017,0.000416,0.000416,0.000416
42,1187.91,0.48064,0.85141,0.87764,0.98993,1,0.995,0.85287,0.57813,0.85461,0.79529,0.0003764,0.0003764,0.0003764
43,1215.17,0.44379,0.82381,0.81017,0.9893,1,0.995,0.85687,0.60951,0.83098,0.79739,0.0003368,0.0003368,0.0003368
44,1242.61,0.53854,0.85919,0.85686,0.99015,1,0.995,0.85035,0.65031,0.85389,0.81282,0.0002972,0.0002972,0.0002972
45,1269.97,0.44341,0.84092,0.82731,0.99061,1,0.995,0.88151,0.63423,0.85013,0.81435,0.0002576,0.0002576,0.0002576
46,1297.23,0.45052,0.83245,0.8081,0.99097,1,0.995,0.89623,0.60591,0.83493,0.8114,0.000218,0.000218,0.000218
